true_label,predicted_label,reconstruction_error,phase1_anomaly
dos,dos,2.7040145641823563,0
dos,probe,2.4918160544348242,0
normal,normal,0.01160817877092951,0
probe,probe,0.5077406515437463,0
probe,normal,1.454391791471334,0
normal,normal,0.0024199681420436128,0
normal,normal,0.024580993730127555,0
r2l,normal,0.31083655857169384,0
normal,normal,0.010440168978743383,0
r2l,normal,0.12243158823071061,0
probe,normal,0.3109883161427915,0
normal,normal,0.024576892442720866,0
dos,dos,2.425012784762649,0
dos,dos,2.0634968335303867,0
normal,normal,0.6210972338424171,0
normal,normal,0.0012144522353302021,0
normal,normal,0.002877103294673463,0
normal,normal,0.0012021223109756629,0
normal,normal,2.217050398607268,0
dos,dos,2.530426568579655,0
dos,dos,0.8893082267955449,0
probe,probe,10.239695376413385,0
normal,normal,0.001320893076966542,0
normal,normal,0.0016367521813259258,0
dos,dos,1.0426355752249847,0
dos,dos,2.496891035612285,0
normal,normal,0.007901780336262924,0
normal,normal,0.0013881068433904801,0
dos,dos,11.881496243515969,0
normal,normal,2.2379502441731987,0
dos,dos,4.3980612252736755,0
normal,normal,0.02457896512617413,0
normal,normal,0.0023380405497442575,0
normal,probe,0.5145490628245152,0
probe,probe,4.2008719003507204,0
probe,ZERO-DAY,464.319265573058,1
normal,normal,0.0014119171165123026,0
u2r,normal,0.12242357221939876,0
normal,normal,0.011046777626079625,0
normal,normal,0.01113651370218073,0
dos,dos,3.0553665725524444,0
normal,normal,0.0010088819742594447,0
normal,normal,0.006143591936197738,0
normal,normal,0.018632139404603645,0
dos,dos,1.5133072963329932,0
normal,normal,0.001302596486349101,0
dos,dos,1.864544453631104,0
dos,dos,0.001926064206991569,0
probe,dos,1.8638289009565427,0
normal,normal,0.1813168112183002,0
normal,normal,0.0019446554589032253,0
normal,normal,0.005315153911601245,0
dos,dos,1.418372852041787,0
dos,dos,2.6629670446978166,0
r2l,normal,0.12385794559270125,0
normal,normal,0.002657297701788826,0
dos,ZERO-DAY,455.9459646772064,1
r2l,normal,0.11429529165242869,0
dos,normal,0.49326688728500323,0
normal,normal,0.0012690894960639782,0
r2l,normal,3.1541047980319026,0
r2l,normal,0.014066303694776015,0
normal,normal,0.002090085505549173,0
normal,normal,0.0031188292187109626,0
probe,probe,2.8079839673851605,0
normal,normal,0.005201901372450696,0
probe,dos,3.747067791138697,0
dos,dos,2.2457308496422663,0
dos,dos,1.62524362916056,0
normal,normal,0.001656684055597414,0
dos,dos,2.6223902577366958,0
normal,normal,0.02458440764508398,0
normal,normal,0.0023811192067038508,0
normal,normal,0.003981580862608431,0
dos,dos,1.4981169708339177,0
normal,normal,0.0026597622367968386,0
normal,normal,0.0010091036468256424,0
dos,normal,0.5656596387522198,0
normal,normal,0.0023581049454475702,0
normal,normal,0.0036461249062039007,0
dos,dos,2.7929105035434496,0
dos,dos,2.72893221499452,0
dos,dos,0.09598187265150172,0
normal,normal,0.0018825431330916935,0
normal,normal,0.0035369083396877654,0
normal,normal,0.002608302686339655,0
dos,dos,3.620572076538991,0
probe,normal,9.630391050065851,0
normal,normal,0.0023035285637417386,0
normal,normal,0.01191532444072787,0
normal,normal,0.0018964764633269033,0
normal,normal,0.0012188573180203072,0
dos,dos,2.3755623248383393,0
u2r,normal,0.6468511281601298,0
r2l,normal,3.154105046761078,0
normal,probe,0.009734574342447488,0
normal,normal,0.0014849926023506827,0
normal,normal,0.02208309578836264,0
probe,ZERO-DAY,709.8139177409116,1
dos,dos,2.027689151913766,0
probe,probe,5.065589962624796,0
r2l,normal,0.12243158823071061,0
dos,dos,2.67931477091607,0
dos,dos,2.2082508027661563,0
normal,normal,0.009737708226922213,0
dos,dos,2.7201921023731397,0
u2r,normal,0.30802004712719816,0
normal,normal,0.0023478148446274957,0
dos,dos,2.310035470080937,0
normal,normal,0.0031936348241641704,0
normal,normal,0.0031327632561801225,0
dos,dos,2.6466716970738613,0
dos,normal,0.5642711841411772,0
dos,normal,0.5693770473195424,0
